	input	filtered	dada_f	dada_r	merged	nonchim	perc_retained
I17188	35148	28131	26793	27255	25030	23795	67.7
I17189	23217	18299	16974	17322	15049	14761	63.6
I17190	21718	17580	15966	16496	13958	13798	63.5
I17191	33751	27701	26397	26786	24617	24589	72.9
I17192	20367	16416	15082	15562	13391	13321	65.4
I17193	30147	24142	22577	23038	20358	20244	67.2
I17194	29717	23518	21938	22352	19342	18410	62
I17195	24501	19680	18242	18752	15568	14725	60.1
I17196	52662	41255	39657	40623	38022	34695	65.9
I17197	38002	30405	29383	29848	27948	27262	71.7
I17198	10886	8626	7446	7881	6280	6245	57.4
I17199	10274	8493	7633	7920	6733	6709	65.3
I17200	18197	14702	12909	13597	10992	10988	60.4
I17201	20064	16415	14845	15432	12953	12620	62.9
I17202	19240	15513	13632	14528	11848	11804	61.4
I17203	15238	11935	10427	11000	9009	8933	58.6
I17204	22952	18719	17160	17695	15398	14702	64.1
I17205	20192	15958	14220	14863	12666	12358	61.2
I17206	62	23	2	2	2	2	3.2
I17207	37670	30891	29297	29864	26450	25541	67.8
I17208	23259	18230	16738	17339	14816	14602	62.8
I17209	30526	22081	20309	20949	18053	17915	58.7
I17210	25808	20125	18169	19201	16898	16567	64.2
I17211	30491	24467	22452	23213	20462	19506	64
I17212	25913	21126	19714	20021	17160	16771	64.7
I17213	24019	18578	16951	17442	14712	14376	59.9
I17214	23780	18856	17668	18071	16266	16191	68.1
I17215	64	24	6	6	6	6	9.4
I17216	51198	43283	43150	43153	42322	39952	78
I17217	30982	25295	23374	24264	21270	20869	67.4
I17218	22750	17986	16320	16886	13996	13785	60.6
I17219	21650	17588	16300	16825	14630	14459	66.8
I17220	95	16	4	4	4	4	4.2
21Feb31DL268	82	26	2	2	2	2	2.4
21Feb31DL269	89977	81100	77709	78951	71058	68956	76.6
J37699	25186	22509	21529	21872	20199	19763	78.5
J37700	18103	16189	14953	15348	13808	13607	75.2
J37701	25087	22605	21345	21662	19342	19209	76.6
J37702	27310	24964	23621	24189	22459	21228	77.7
J37703	21346	18753	17270	17727	14980	14763	69.2
J37704	24121	21651	19972	20702	17778	17736	73.5
J37705	30544	27315	25131	26371	23367	22473	73.6
J37706	22797	19952	18419	19037	16449	16266	71.4
J37707	20003	17739	16010	16741	14338	13744	68.7
J37708	27321	24054	22322	23009	20069	19827	72.6
J37709	22	5	1	1	0	0	0
J37710	28626	25714	25616	25621	23946	19958	69.7
J37713	17585	15414	13808	14241	11482	11459	65.2
J37714	28202	25100	23549	23962	21300	21032	74.6
J37715	19782	17594	16252	16735	14520	14232	71.9
J37716	17605	15529	13520	14054	11705	11700	66.5
J37717	25200	22420	20985	21575	19742	18030	71.5
J37718	23194	19527	17760	18436	15627	15500	66.8
J37719	28822	25821	24464	24915	22669	20457	71
J37720	36685	32918	30884	31711	27623	25721	70.1
J37721	16951	14686	13260	13823	11376	11252	66.4
J37722	26936	24261	22755	23264	20880	19937	74
J37723	26710	23352	21494	22169	19265	18639	69.8
J37725	27517	24477	22982	23639	21095	20669	75.1
J37726	23199	20177	18108	19104	15736	15641	67.4
J37727	20269	17441	16052	16488	14035	13876	68.5
J37729	21017	18555	17213	17740	15660	15590	74.2
J37730	41026	36560	34510	35198	31433	30632	74.7
J37731	26065	20944	19469	19932	17070	16837	64.6
J37732	14988	13004	11462	12034	10387	10358	69.1
J37733	20922	18206	16568	17200	14657	14603	69.8
J37734	29314	26334	25179	25611	23534	22088	75.3
J37735	44941	40435	38815	39403	36922	34574	76.9
J37736	44944	40386	38950	39407	36613	34935	77.7
J37737	23374	20313	19047	19391	17112	16988	72.7
J37738	39200	34836	33132	33821	30724	30653	78.2
J37739	17886	15794	14385	14834	12348	12325	68.9
J37740	44202	39232	37526	38047	33977	32581	73.7
J37741	36168	31749	29667	30290	26337	26144	72.3
J37742	32694	29367	28018	28393	26014	24333	74.4
J37743	29899	26350	25082	25405	23758	22901	76.6
J37744	43352	39342	37777	38294	35724	32721	75.5
J37745	25818	23104	21550	22033	19802	19388	75.1
J37746	35275	30766	28577	29486	25780	25258	71.6
J37747	28492	25743	24489	24995	23360	21620	75.9
J37748	23640	20836	19327	19860	17265	17121	72.4
J37770	34	21	1	1	0	0	0
J37791	32946	27012	25865	26502	24054	23227	70.5
J37793	34013	28574	25647	26959	22381	21821	64.2
J37794	31092	26446	24696	25302	21747	21352	68.7
J37795	28183	25074	23375	24038	21304	20864	74
J37796	26374	23347	21283	22311	18795	18616	70.6
J37797	31667	26702	24866	25431	21961	21734	68.6
J37798	27920	24424	22559	23233	20729	20176	72.3
J37799	23616	21214	19863	20434	18513	17277	73.2
J37800	29401	25974	24076	24818	21534	20752	70.6
J37801	27572	24715	23161	23651	21212	20202	73.3
J37802	33440	29880	27572	28664	24512	23972	71.7
J37803	23318	20777	19243	19693	17425	16218	69.6
J37805	67	40	21	19	19	19	28.4
